ts,agent_id,throttle,steer,brake
127912,0,0.8999999761581421,-0.0026230288203805685,0.0
127913,0,0.8999999761581421,-0.003492220537737012,0.0
127914,0,0.8999999761581421,-0.003992878366261721,0.0
127915,0,0.8999999761581421,-0.0047993590123951435,0.0
127916,0,0.8999999761581421,-0.005070439539849758,0.0
127917,0,0.8999999761581421,-0.005536649376153946,0.0
127918,0,0.8999999761581421,-0.004418866243213415,0.0
127919,0,0.8999999761581421,-0.0043860673904418945,0.0
127920,0,0.8999999761581421,-0.004706788808107376,0.0
127921,0,0.8999999761581421,-0.0044327727518975735,0.0
127922,0,0.8999999761581421,-0.0048311976715922356,0.0
127923,0,0.8999999761581421,-0.003331942716613412,0.0
127924,0,0.8999999761581421,-0.004496104549616575,0.0
127925,0,0.8999999761581421,-0.0039498088881373405,0.0
127926,0,0.8999999761581421,-0.0036572518292814493,0.0
127927,0,0.8999999761581421,-0.002615559846162796,0.0
127928,0,0.8999999761581421,-0.003066863166168332,0.0
127929,0,0.8999999761581421,-0.004015692975372076,0.0
127930,0,0.8999999761581421,-0.003888025414198637,0.0
127931,0,0.8999999761581421,-0.00414243433624506,0.0
127932,0,0.8999999761581421,-0.00552184646949172,0.0
127933,0,0.8999999761581421,-0.004695042036473751,0.0
127934,0,0.8999999761581421,-0.005028590094298124,0.0
127935,0,0.8999999761581421,-0.0034233620390295982,0.0
127936,0,0.8999999761581421,-0.004305866546928883,0.0
127937,0,0.8999999761581421,-0.007227192632853985,0.0
127938,0,0.8999999761581421,-0.003689686767756939,0.0
127939,0,0.8999999761581421,-0.004757289309054613,0.0
127940,0,0.8999999761581421,-0.004274839069694281,0.0
127941,0,0.8999999761581421,-0.0036731562577188015,0.0
127942,0,0.8999999761581421,-0.0038135109934955835,0.0
127943,0,0.8999999761581421,-0.0024727818090468645,0.0
127944,0,0.8999999761581421,-0.002932006726041436,0.0
127945,0,0.8999999761581421,-0.0017644583713263273,0.0
127946,0,0.8999999761581421,-0.0020912615582346916,0.0
127947,0,0.8999999761581421,-0.0023412550799548626,0.0
127948,0,0.8999999761581421,-0.0033932451624423265,0.0
127949,0,0.8999999761581421,0.0001900386268971488,0.0
127950,0,0.8999999761581421,-0.0034469887614250183,0.0
127951,0,0.8999999761581421,-0.003501721192151308,0.0
127952,0,0.8999999761581421,-0.004064098931849003,0.0
127953,0,0.8999999761581421,-0.00443902937695384,0.0
127954,0,0.8999999761581421,-0.003762525040656328,0.0
127955,0,0.8999999761581421,-0.0048085469752550125,0.0
127956,0,0.8999999761581421,-0.0046173688024282455,0.0
127957,0,0.8999999761581421,-0.005149229895323515,0.0
127958,0,0.8999999761581421,-0.00355706294067204,0.0
127959,0,0.8999999761581421,-0.004628782160580158,0.0
127960,0,0.8999999761581421,-0.0036797316279262304,0.0
127961,0,0.8999999761581421,-0.005212477408349514,0.0
127962,0,0.8999999761581421,-0.004550973419100046,0.0
127963,0,0.8999999761581421,-0.0039011493790894747,0.0
127964,0,0.8999999761581421,-0.005131175275892019,0.0
127965,0,0.8999999761581421,-0.00482593709602952,0.0
127966,0,0.8999999761581421,-0.004316430538892746,0.0
127967,0,0.8999999761581421,-0.0037511056289076805,0.0
127968,0,0.8999999761581421,-0.0038330936804413795,0.0
127969,0,0.8999999761581421,-0.004983475431799889,0.0
127970,0,0.8999999761581421,-0.004008177202194929,0.0
127971,0,0.8999999761581421,-0.00507478229701519,0.0
127972,0,0.8999999761581421,-0.005944827105849981,0.0
127973,0,0.8999999761581421,-0.00568760372698307,0.0
127974,0,0.8999999761581421,-0.006031540688127279,0.0
127975,0,0.8999999761581421,-0.0058239600621163845,0.0
127976,0,0.8999999761581421,-0.004884978290647268,0.0
127977,0,0.8999999761581421,-0.00627379072830081,0.0
127978,0,0.8999999761581421,-0.005739298183470964,0.0
127979,0,0.8999999761581421,-0.006170816719532013,0.0
127980,0,0.8999999761581421,-0.00581807317212224,0.0
127981,0,0.8999999761581421,-0.005882523022592068,0.0
127982,0,0.8999999761581421,-0.004204953089356422,0.0
127983,0,0.8999999761581421,-0.005808831192553043,0.0
127984,0,0.8999999761581421,-0.0037111148703843355,0.0
127985,0,0.8999999761581421,-0.002821672009304166,0.0
127986,0,0.8999999761581421,-0.002264761133119464,0.0
127987,0,0.8999999761581421,-0.0027040704153478146,0.0
