,weather,scenario,status
229,cloudy-noon,ghost_cutin,Completed
230,rain-noon,ghost_cutin,Completed
231,snow-noon,ghost_cutin,Completed
232,clear-noon,ghost_cutin,Completed
233,cloudy-noon,ghost_cutin,Completed
234,rain-noon,ghost_cutin,Completed
235,snow-noon,ghost_cutin,Completed
236,clear-noon,ghost_cutin,Completed
237,cloudy-noon,ghost_cutin,Completed
238,rain-noon,ghost_cutin,Completed
239,snow-noon,ghost_cutin,Completed
240,clear-noon,ghost_cutin,Completed
241,cloudy-noon,ghost_cutin,Completed
242,rain-noon,ghost_cutin,Completed
243,snow-noon,ghost_cutin,Completed
244,clear-noon,ghost_cutin,Completed
245,cloudy-noon,ghost_cutin,Completed
246,rain-noon,ghost_cutin,Completed
247,snow-noon,ghost_cutin,Completed
248,clear-noon,ghost_cutin,Completed
249,cloudy-noon,ghost_cutin,Completed
250,rain-noon,ghost_cutin,Completed
251,snow-noon,ghost_cutin,Completed
252,clear-noon,ghost_cutin,Completed
253,cloudy-noon,ghost_cutin,Failed -- Simulator crashed
254,rain-noon,ghost_cutin,Completed
255,snow-noon,ghost_cutin,Completed
256,clear-noon,ghost_cutin,Completed
257,cloudy-noon,ghost_cutin,Completed
258,rain-noon,ghost_cutin,Completed
259,snow-noon,ghost_cutin,Completed
260,clear-noon,ghost_cutin,Completed
261,cloudy-noon,ghost_cutin,Failed -- Accident
262,rain-noon,ghost_cutin,Completed
263,snow-noon,ghost_cutin,Completed
264,clear-noon,ghost_cutin,Completed
265,cloudy-noon,ghost_cutin,Completed
266,rain-noon,ghost_cutin,Completed
267,snow-noon,ghost_cutin,Completed
268,clear-noon,ghost_cutin,Completed
269,cloudy-noon,ghost_cutin,Completed
270,rain-noon,ghost_cutin,Completed
271,snow-noon,ghost_cutin,Completed
272,clear-noon,ghost_cutin,Completed
273,cloudy-noon,ghost_cutin,Completed
274,rain-noon,ghost_cutin,Completed
275,snow-noon,ghost_cutin,Completed
276,clear-noon,ghost_cutin,Completed
277,cloudy-noon,ghost_cutin,Completed
278,rain-noon,ghost_cutin,Completed
279,snow-noon,ghost_cutin,Failed -- Accident
280,clear-noon,ghost_cutin,Completed
281,cloudy-noon,ghost_cutin,Completed
282,rain-noon,ghost_cutin,Completed
283,snow-noon,ghost_cutin,Completed
284,clear-noon,ghost_cutin,Completed
285,cloudy-noon,ghost_cutin,Completed
286,rain-noon,ghost_cutin,Completed
287,snow-noon,ghost_cutin,Failed -- Accident
288,clear-noon,ghost_cutin,Completed
289,cloudy-noon,ghost_cutin,Completed
290,rain-noon,ghost_cutin,Completed
291,snow-noon,ghost_cutin,Completed
292,clear-noon,ghost_cutin,Completed
293,cloudy-noon,ghost_cutin,Completed
294,rain-noon,ghost_cutin,Completed
295,snow-noon,ghost_cutin,Completed
296,clear-noon,ghost_cutin,Completed
297,cloudy-noon,ghost_cutin,Completed
298,rain-noon,ghost_cutin,Completed
299,snow-noon,ghost_cutin,Completed
300,clear-noon,ghost_cutin,Completed
301,cloudy-noon,ghost_cutin,Completed
302,rain-noon,ghost_cutin,Completed
303,snow-noon,ghost_cutin,Completed
304,clear-noon,ghost_cutin,Completed
305,cloudy-noon,ghost_cutin,Failed -- Accident
306,rain-noon,ghost_cutin,Completed
307,snow-noon,ghost_cutin,Completed
308,clear-noon,ghost_cutin,Completed
309,cloudy-noon,ghost_cutin,Completed
310,rain-noon,ghost_cutin,Completed
311,snow-noon,ghost_cutin,Completed
312,clear-noon,ghost_cutin,Completed
313,cloudy-noon,ghost_cutin,Completed
314,rain-noon,ghost_cutin,Completed
315,snow-noon,ghost_cutin,Completed
316,clear-noon,ghost_cutin,Completed
317,cloudy-noon,ghost_cutin,Completed
318,rain-noon,ghost_cutin,Completed
319,snow-noon,ghost_cutin,Completed
320,clear-noon,ghost_cutin,Completed
321,cloudy-noon,ghost_cutin,Completed
322,rain-noon,ghost_cutin,Failed -- Simulator crashed
323,snow-noon,ghost_cutin,Failed -- Accident
324,clear-noon,ghost_cutin,Completed
325,cloudy-noon,ghost_cutin,Completed
326,rain-noon,ghost_cutin,Completed
327,snow-noon,ghost_cutin,Completed
328,clear-noon,ghost_cutin,Completed
329,cloudy-noon,ghost_cutin,Completed
330,rain-noon,ghost_cutin,Completed
331,snow-noon,ghost_cutin,Completed
332,clear-noon,ghost_cutin,Completed
333,cloudy-noon,ghost_cutin,Completed
334,rain-noon,ghost_cutin,Failed -- Accident
335,snow-noon,ghost_cutin,Completed
336,clear-noon,ghost_cutin,Completed
337,cloudy-noon,ghost_cutin,Completed
338,rain-noon,ghost_cutin,Completed
339,snow-noon,ghost_cutin,Completed
340,clear-noon,ghost_cutin,Completed
341,cloudy-noon,ghost_cutin,Completed
342,rain-noon,ghost_cutin,Completed
343,snow-noon,ghost_cutin,Failed -- Accident
344,clear-noon,ghost_cutin,Completed
345,cloudy-noon,ghost_cutin,Completed
346,rain-noon,ghost_cutin,Failed -- Accident
347,snow-noon,ghost_cutin,Completed
348,clear-noon,ghost_cutin,Completed
349,cloudy-noon,ghost_cutin,Completed
350,rain-noon,ghost_cutin,Completed
351,snow-noon,ghost_cutin,Completed
352,clear-noon,ghost_cutin,Completed
353,cloudy-noon,ghost_cutin,Completed
354,rain-noon,ghost_cutin,Failed -- Accident
355,snow-noon,ghost_cutin,Completed
356,clear-noon,ghost_cutin,Completed
357,cloudy-noon,ghost_cutin,Completed
358,rain-noon,ghost_cutin,Failed -- Accident
359,snow-noon,ghost_cutin,Completed
360,clear-noon,ghost_cutin,Completed
361,cloudy-noon,ghost_cutin,Completed
362,rain-noon,ghost_cutin,Completed
363,snow-noon,ghost_cutin,Completed
364,clear-noon,ghost_cutin,Completed
365,cloudy-noon,ghost_cutin,Failed -- Accident
366,rain-noon,ghost_cutin,Completed
367,snow-noon,ghost_cutin,Completed
368,clear-noon,ghost_cutin,Completed
369,cloudy-noon,ghost_cutin,Completed
370,rain-noon,ghost_cutin,Completed
371,snow-noon,ghost_cutin,Completed
372,clear-noon,ghost_cutin,Completed
373,cloudy-noon,ghost_cutin,Completed
374,rain-noon,ghost_cutin,Failed -- Accident
375,snow-noon,ghost_cutin,Completed
376,clear-noon,ghost_cutin,Completed
377,cloudy-noon,ghost_cutin,Completed
378,rain-noon,ghost_cutin,Completed
379,snow-noon,ghost_cutin,Completed
380,clear-noon,ghost_cutin,Completed
381,cloudy-noon,ghost_cutin,Completed
382,rain-noon,ghost_cutin,Completed
383,snow-noon,ghost_cutin,Completed
384,clear-noon,ghost_cutin,Completed
385,cloudy-noon,ghost_cutin,Completed
386,rain-noon,ghost_cutin,Completed
387,snow-noon,ghost_cutin,Completed
388,clear-noon,ghost_cutin,Failed -- Accident
389,cloudy-noon,ghost_cutin,Completed
390,rain-noon,ghost_cutin,Completed
391,snow-noon,ghost_cutin,Completed
392,clear-noon,ghost_cutin,Completed
393,cloudy-noon,ghost_cutin,Completed
394,rain-noon,ghost_cutin,Completed
395,snow-noon,ghost_cutin,Failed -- Accident
396,clear-noon,ghost_cutin,Completed
397,cloudy-noon,ghost_cutin,Completed
398,rain-noon,ghost_cutin,Failed -- Accident
399,snow-noon,ghost_cutin,Completed
400,clear-noon,ghost_cutin,Completed
401,cloudy-noon,ghost_cutin,Completed
402,rain-noon,ghost_cutin,Completed
403,snow-noon,ghost_cutin,Completed
404,clear-noon,ghost_cutin,Completed
405,cloudy-noon,ghost_cutin,Completed
406,rain-noon,ghost_cutin,Failed -- Accident
407,snow-noon,ghost_cutin,Failed -- Accident
408,clear-noon,ghost_cutin,Completed
409,cloudy-noon,ghost_cutin,Completed
410,rain-noon,ghost_cutin,Completed
411,snow-noon,ghost_cutin,Failed -- Accident
412,clear-noon,ghost_cutin,Completed
413,cloudy-noon,ghost_cutin,Completed
414,rain-noon,ghost_cutin,Completed
415,snow-noon,ghost_cutin,Failed -- Accident
416,clear-noon,ghost_cutin,Completed
417,cloudy-noon,ghost_cutin,Completed
418,rain-noon,ghost_cutin,Completed
419,snow-noon,ghost_cutin,Completed
420,clear-noon,ghost_cutin,Completed
421,cloudy-noon,ghost_cutin,Completed
422,rain-noon,ghost_cutin,Completed
423,snow-noon,ghost_cutin,Completed
424,clear-noon,ghost_cutin,Completed
425,cloudy-noon,ghost_cutin,Completed
426,rain-noon,ghost_cutin,Failed -- Accident
427,snow-noon,ghost_cutin,Completed
428,clear-noon,ghost_cutin,Completed
429,cloudy-noon,ghost_cutin,Completed
430,rain-noon,ghost_cutin,Completed
431,snow-noon,ghost_cutin,Completed
432,clear-noon,ghost_cutin,Completed
433,cloudy-noon,ghost_cutin,Completed
434,rain-noon,ghost_cutin,Completed
435,snow-noon,ghost_cutin,Completed
436,clear-noon,ghost_cutin,Completed
437,cloudy-noon,ghost_cutin,Completed
438,rain-noon,ghost_cutin,Completed
439,snow-noon,ghost_cutin,Completed
440,clear-noon,ghost_cutin,Completed
441,cloudy-noon,ghost_cutin,Completed
442,rain-noon,ghost_cutin,Failed -- Accident
443,snow-noon,ghost_cutin,Completed
444,clear-noon,ghost_cutin,Completed
445,cloudy-noon,ghost_cutin,Completed
446,rain-noon,ghost_cutin,Completed
447,snow-noon,ghost_cutin,Completed
448,clear-noon,ghost_cutin,Completed
449,cloudy-noon,ghost_cutin,Completed
450,rain-noon,ghost_cutin,Completed
451,snow-noon,ghost_cutin,Completed
452,clear-noon,ghost_cutin,Completed
453,cloudy-noon,ghost_cutin,Completed
454,rain-noon,ghost_cutin,Failed -- Accident
455,snow-noon,ghost_cutin,Completed
456,clear-noon,ghost_cutin,Completed
